name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Shaun Livingston,GSW,32,17,12,5,17.5,6.5,2.7,5.6,48.4,0,0.1,0,1.1,1.2,85.7,0.6,1.5,2.1,1.5,0.9,0.4,0.1,1.5,11.6,0,0,2.5
Gerald Green,HOU,32,17,11,6,16,6.3,2.2,5.5,39.4,1.6,4.2,37.5,0.4,0.4,85.7,0.4,2.6,2.9,0.1,0.6,0.2,0.4,1.6,11.3,1,0,-1.1
Shabazz Muhammad,MIL,25,4,1,3,7.2,6.3,2.3,5,45,1,1.3,80,0.8,1.3,60,0,1,1,0,0.5,0.5,0.3,0.5,9.2,0,0,2.3
Taj Gibson,MIN,32,5,1,4,24.6,6.2,2.8,4.4,63.6,0,0,0,0.6,0.6,100,1.4,2.6,4,0.4,0.8,0.2,0.4,1.6,12.6,0,0,-7.8
Corey Brewer,OKC,32,6,2,4,25.2,6.2,2.2,4.2,52,0.8,1.8,45.5,1,1,100,0.7,1.5,2.2,0.8,0.3,1.2,0.8,2.8,15.7,0,0,-7.3
Tristan Thompson,CLE,27,15,10,5,21.5,6.1,2.4,3.9,62.1,0,0.1,0,1.3,1.6,79.2,2.4,3.7,6.1,0.7,0.7,0.1,0.3,1.3,15.2,3,0,0.4
Jake Layman,POR,24,1,0,1,7.9,6,3,3,100,0,0,0,0,0,0,0,1,1,1,0,2,0,0,14.7,0,0,11
Pau Gasol,SAS,37,5,1,4,18.1,6,2,4,50,0.2,0.6,33.3,1.8,2,90,0.4,4.4,4.8,2.8,1.2,0,0.2,1,15.4,0,0,-4.8
Aron Baynes,BOS,31,19,11,8,20.5,6,2.4,4.7,50.6,0.6,1.2,47.8,0.7,0.9,72.2,2.4,3.8,6.2,1,0.4,0.2,0.6,2.3,16.9,0,0,-2.5
Ty Lawson,WAS,30,5,2,3,19.3,5.8,1.8,5.2,34.6,1,1.6,62.5,1.2,1.2,100,0.4,2.2,2.6,3,0.6,0.6,0,1.2,14.6,0,0,-0.6
JaVale McGee,GSW,30,9,7,2,11.5,5.8,2.6,4.2,60.5,0,0.1,0,0.7,0.9,75,1.3,2.3,3.7,0.4,0.4,0.3,0.7,1.6,13.4,0,0,0.7
Thon Maker,MIL,21,6,3,3,21.6,5.5,1.8,4.7,39.3,1,3.3,30,0.8,1.2,71.4,1,2.8,3.8,0.8,0.7,0.3,1.8,2.8,17.2,0,0,6.5
Shabazz Napier,POR,26,2,0,2,17.5,5.5,2.5,5.5,45.5,0,2,0,0.5,1,50,0,1,1,1.5,3,1.5,0,0.5,10.5,0,0,1.5
T.J. McConnell,PHI,26,10,5,5,15.5,5.5,2.5,3.6,69.4,0.2,0.3,66.7,0.3,0.5,60,0.6,2,2.6,2.3,0.6,0.6,0,1.3,13.3,0,0,4
Jakob Poeltl,TOR,22,9,4,5,15.5,5.4,1.9,3.4,54.8,0,0.1,0,1.7,2.1,78.9,1.7,2.3,4,0.7,0.9,0.3,0.4,2.8,12.7,0,0,-4
Kyle Anderson,SAS,24,5,1,4,14.7,5.4,2.4,4,60,0,0.8,0,0.6,0.8,75,1,1.6,2.6,0.6,0.6,1.2,0.2,2,13,0,0,-4
Quinn Cook,GSW,25,15,10,5,11.4,5.3,1.9,4.3,45.3,0.5,2,23.3,0.9,1.1,82.4,0.1,1.4,1.5,0.7,0.3,0.3,0.1,0.9,9.1,0,0,3.3
Hassan Whiteside,MIA,28,5,1,4,15.4,5.2,1.8,4,45,0,0,0,1.6,2.6,61.5,2,4,6,0.2,2.4,0,1.2,3.2,13.9,1,0,-5.2
Raymond Felton,OKC,33,6,2,4,13.1,5.2,2,5.2,38.7,1.2,2.3,50,0,0.3,0,0.3,1.8,2.2,1.5,0.8,0.7,0.3,1.2,12.2,0,0,-0.3
Dante Exum,UTA,22,10,5,5,11.4,5.1,2,4.1,48.8,0.2,0.7,28.6,0.9,1.2,75,0.4,1,1.4,1,1.5,0.1,0.1,1.5,7.4,0,0,-2.2
Ian Mahinmi,WAS,31,6,2,4,8.7,5,1.7,2.3,71.4,0,0,0,1.7,1.8,90.9,0.7,1.2,1.8,0.2,0.2,0.7,0.8,1.7,11.8,0,0,0.8
Jordan Clarkson,CLE,25,17,12,5,15.3,4.9,2,6.5,30.9,0.6,2.5,25.6,0.3,0.4,83.3,0.5,1.2,1.6,0.7,0.6,0.4,0.1,1.1,8.7,0,0,-2.5
Rodney Hood,CLE,25,13,7,6,15.6,4.9,2.1,5,41.5,0.2,1.5,15.8,0.5,0.7,77.8,0.2,1.1,1.2,1.2,0.8,0.2,0.2,2,8.4,0,0,-6.1
Greg Monroe,BOS,27,11,5,6,9.5,4.8,1.7,3.5,50,0,0,0,1.4,2,68.2,1.3,1.9,3.2,0.5,1.3,0.2,0.2,0.8,9.1,1,0,-1.5
Darius Miller,NOP,28,9,5,4,18,4.8,1.6,3.8,41.2,1,2.7,37.5,0.7,0.7,100,0.2,2,2.2,1.2,0.7,0.6,0,1.1,10.3,0,0,0.4
Cory Joseph,IND,26,7,3,4,20.5,4.7,1.7,4.7,36.4,0.4,1.6,27.3,0.9,0.9,100,0.3,2.1,2.4,3,0.6,1.3,0.3,1.4,16.3,0,0,1.3
Nemanja Bjelica,MIN,30,5,1,4,9.4,4.6,1.4,3.2,43.8,0.8,1.4,57.1,1,1.4,71.4,0.8,2.2,3,0.6,0.2,0.6,0,1.2,10.7,0,0,-2
Larry Nance Jr.,CLE,25,16,10,6,14.9,4.6,2,2.6,76.2,0,0.1,0,0.6,1.2,47.4,1.3,2.6,3.9,0.8,0.6,0.9,0.8,1.8,14.6,0,0,-1.8
Kevon Looney,GSW,22,17,12,5,20.5,4.5,2,3.8,52.3,0,0.1,0,0.5,1,47.1,2.2,2.6,4.9,1.1,0.5,0.8,0.5,2.7,15.2,0,0,3.8
Bryn Forbes,SAS,24,4,0,4,13.5,4.3,1.3,4.3,29.4,0.5,2.3,22.2,1.3,1.8,71.4,0.3,0.5,0.8,0.5,0,0,0,0.8,5.9,0,0,-4
Danny Green,SAS,30,5,1,4,20.6,4.2,1.6,6,26.7,1,4,25,0,0,0,0.8,1.4,2.2,0.2,0.4,0.2,0.8,1.6,9.7,0,0,-9.4
